product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"მიუსლი ""სტარტი"" გარგარის ჩირი და ქიშმიში",0,0.375,0,0,8.65,384,9.64,63.54,7.9,1440,36.15,238.275,29.625
"მიუსლი ""აქსა"" თაფლი და კენკრა",0,0.33,0,0,7.95,395.9,13.5,63.1,8.1,1306.47,44.55,208.23,26.73
"მიუსლი ""კრუპნო"" კენკრით",0,0.3,0,0,2.95,340,5,62,7.3,1020,15,186,21.9
"ფანტელი წიწიბურის ""კრუპნო""",0,0.4,0,0,3.5,340,2,69,10.5,1360,8,276,42
"ფანტელი შვრიის ""სოლნიშკო"" კლასიკური",0,0.325,0,0,2.65,380,7,60,9,1235,22.75,195,29.25
"მიუსლი ""აქსა"" თაფლი და კენკრა",0,0.15,0,0,3.75,395.9,13.5,63.1,13,593.85,20.25,94.65,19.5
"მიუსლი ""კრუპნო"" ხილით",0,0.3,0,0,4.1,320,2.5,66,7.3,960,7.5,198,21.9
"ვანილი ""იამუნია""",0,0.002,0,0,0.4,395,0,99,0,7.9,0,1.98,0
"გასაფხვიერებელი ცომის ""იამუნია""",0,0.018,0,0,0.55,79,0,20,0.1,14.22,0,3.6,0.018
"ვანილი ""კენტი""",0,0.005,0,0,0.25,398,0,99.5,0,19.9,0,4.975,0
"საფუარი მშრალი ""იუვა""",0,0.08,0,0,1.45,331,6,16,43,264.8,4.8,12.8,34.4
"ლიმონმჟავა ""იამუნია""",0,0.02,0,0,1.2,0,0,0,0,0,0,0,0
"ჟელატინი ""იამუნია""",0,0.015,0,0,2.1,340,0.1,0,85,51,0.015,0,12.75
სოდა საკვები,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0
"სანელებლები დარიჩინი ""იამუნა"" დაფქვილი",0,0.015,0,0,1.65,247,1.2,80.6,4,37.05,0.18,12.09,0.6
"სახამებელი კარტოფილის ""იამუნია""",0,0.2,0,0,3.55,330,0,83,0.3,660,0,166,0.6
"ფქვილი ხორბლის ""ფაველი"" უ/ხ",0,2,0,0,4.35,336,0.8,72.3,9.83,6720,16,1446,196.6
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",0,2,0,0,3.9,329,1.5,68,11.1,6580,30,1360,222
ფქვილი სიმინდის უ/ხ,0,1,0,0,4.6,365,1.5,77,7,3650,15,770,70
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",0,1,0,0,2.2,329,1.5,68,11.1,3290,15,680,111
ღერღილი სიმინდის უ/ხ,0,1,0,0,4.6,360,1.2,78,7.5,3600,12,780,75
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",0,2,0,0,3.7,329,1.5,68,11.1,6580,30,1360,222
"კაკაო ""იამუნია"" შავი",0,0.025,0,0,2.35,340,11,11,24,85,2.75,2.75,6
"კაკაო ""როსიისკი""",0,0.1,0,0,7.45,300,15,10,24,300,15,10,24
"სანელებლები დარიჩინი ""ჯეო"" დაფქვილი",0,0.001,0,0,0.55,247,1.2,80.6,4,2.47,0.012,0.806,0.04
"ფქვილი ხორბლის ""ჟარკოფი"" უ/ხ",0,2,0,0,4.35,334,1.1,70.6,10.3,6680,22,1412,206
"ვერმიშელი ""დოშირაკი"" საქონლის",0,0.07,0,0,1.15,400,17,54,8,280,11.9,37.8,5.6
"ვერმიშელი ""დოშირაკი"" სოკოთი",0,0.07,0,0,1.15,400,17,54,8,280,11.9,37.8,5.6
"ვერმიშელი ""დოშირაკი"" ქათმის",0,0.07,0,0,1.15,400,17,54,8,280,11.9,37.8,5.6
"ვერმიშელი ""რონდო"" ქათმის",0,0.05,0,0,0.85,444,16,66,9,222,8,33,4.5
"ვერმიშელი ""რონდო"" ქათმის ცხარე",0,0.05,0,0,0.85,444,16,66,9,222,8,33,4.5
"ლაფშა ""დოშირაკი"" საქონლის (თეფში)",0,0.09,0,0,2.4,440,18,63,7,396,16.2,56.7,6.3
"ლაფშა ""დოშირაკი"" ქათმის (თეფში)",0,0.09,0,0,2.4,460,19,62,9,414,17.1,55.8,8.1
"ჟელე ""იამუნია"" ჟოლოს",0,0.9,0,0,2.65,380,0.04,86.4,8.7,3420,0.36,777.6,78.3
"ჟელე ""იამუნია"" ალუბლის",0,0.9,0,0,2.65,380,0.04,86.4,8.7,3420,0.36,777.6,78.3
"კისელი ""რუსკი პროდუქტ"" ჟოლოს",0,0.22,0,0,2.75,360,0,91,0.1,792,0,200.2,0.22
"კისელი ""რუსკი პროდუქტ"" ალუბლის",0,0.22,0,0,2.75,360,0,91,0.1,792,0,200.2,0.22
