product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"ყველი ""პრეზიდენტი"" ლაბნე ზეთისხილით",0,0.18,0,0,6.35,118,17,4.5,4.3,212.4,30.6,8.1,7.74
"ყველი ""პრეზიდენტი"" მაზდამი 150გრ",0,0.15,0,0,11.45,346,27,0,25,519,40.5,0,37.5
"ყველი ""გალბანი"" გრანგუსტო",0,0.2,0,0,15.95,384,28,0,33,768,56,0,66
"ყველი ""ხიზა"" ქარხნული 500გრ",0,0.5,0,0,11.5,315,25.3,4.24,16.71,1575,126.5,21.2,83.55
"ყველი ""წიფორა სამცხე"" ქარხნული",0,0.65,0,0,13.7,306,26,0,18,1989,169,0,117
"ყველი ""წიფორა სამცხე"" სულგუნი შებოლილი დაწნული",0,0.025,0,0,1.2,368,30.07,0.28,23.99,92,7.5175,0.07,5.9975
"ყველი ""წიფორა სამცხე"" სულგუნი შებოლილი დაწნული 60გრ",0,0.06,0,0,2.9,368,30.07,0.28,23.99,220.8,18.042,0.168,14.394
"ყველი ""წიფორა სამცხე"" შებოლილი ჩხირები",0,0.05,0,0,2.25,368,30.07,0.28,23.99,184,15.035,0.14,11.995
"ყველი ""ხიზა"" სულგუნი",0,0.4,0,0,11.5,361,27.9,1.47,25.32,1444,111.6,5.88,101.28
"ყველი ""წიფორა სამცხე"" სულგუნი შებოლილი",0,0.45,0,0,13.8,368,30.07,0.28,23.99,1656,135.315,1.26,107.955
"ყველი ""წიფორა სამცხე"" სულგუნი",0,0.5,0,0,13.35,286,22,1,21,1430,110,5,105
"ყველი ""წიფორა სამცხე"" იმერული 600გრ",0,0.6,0,0,12.35,255,18,2,19.5,1530,108,12,117
"ყველი ""ხიზა"" იმერული",0,0.5,0,0,10.45,314,25.6,3.52,16.65,1570,128,17.6,83.25
"მდნარი ყველი ""პრეზიდენტი"" ლორით /ვანა/",0,0.2,0,0,8.95,214,17,8.5,8.5,428,34,17,17
"ყველი ""ლერდამერი"" დაჭრილი",0,0.16,0,0,10.35,356,27.5,0,27,569.6,44,0,43.2
"მარგარინი ""ბიზიმი""",0,0.25,0,0,2.1,720,80,0.1,0.1,1800,200,0.25,0.25
"მარგარინი ""უსტამი""",0,0.25,0,0,1.9,720,80,0.1,0.1,1800,200,0.25,0.25
"კარაქი ""პრეზიდენტი"" ნაღების 82%",0,0.2,0,0,11.65,745,82,1,0.7,1490,164,2,1.4
"კარაქი ""ფერმა"" ნაღების 82.5%",0,0.2,0,0,10.95,748,82.5,0.8,0.5,1496,165,1.6,1
"კარაქი ""პრეზიდენტი"" ნაღების 82%",0,0.4,0,0,23.95,745,82,1,0.7,2980,328,4,2.8
"სპრედი ""ოდა"" 82%",0,0.2,0,0,2.6,748.5,82,0.5,1,1497,164,1,2
"სპრედი ""ოდა"" 82%",0,0.85,0,0,9.95,748.5,82,0.5,1,6362.25,697,4.25,8.5
"ერბო ""ტექსუნი""",0,0.91,0,0,11.95,899,99.9,0,0,8180.9,909.09,0,0
"მარგარინი ""ვიტამი""",0,0.25,0,0,2.35,720,80,0,0,1800,200,0,0
"მარგარინი ""დაჩა""",0,0.4,0,0,5.4,540,60,0,0,2160,240,0,0
"მარგარინი ""ონა""",0,0.25,0,0,2.25,630,70,0,0,1575,175,0,0
"რძე ""დომიკ ვ დერევნე"" ულტრაპასტერიზებული 2,5%",0,0,0.95,0,5.65,60,3.2,4.7,3,570,30.4,44.65,28.5
"რძე საბავშვო ""სოფლის ნობათი"" ულტრაპასტერიზებული 2,5%",0,0,1,0,5.85,53,2.5,4.7,3,530,25,47,30
"რძე ""დომიკ ვ დერევნე"" ულტრაპასტერიზებული 3,2%",0,0,0.95,0,5.8,60,3.2,4.7,3,570,30.4,44.65,28.5
"რძე ""დომიკ ვ დერევნე"" 6%",0,0,0.95,0,5.95,84,6,4.5,3,798,57,42.75,28.5
"რძე ""დომიკ ვ დერევნე"" ულტრაპასტერიზებული 1,5%",0,0,0.95,0,5.75,44,1.5,4.7,3,418,14.25,44.65,28.5
"ნაღები რძის ""პრეზიდენტი"" 35,1%",0,0,0.5,0,17.25,337,35.1,3.2,2,1685,175.5,16,10
"რძე ""სვანური"" 3,2%",0,0,0.9,0,4.2,60,3.2,4.7,3,540,28.8,42.3,27
"რძის კოქტეილი ""ჩუდო"" შოკოლადის 3%",0,0.2,0,0,3,101,3,15.8,2.6,202,6,31.6,5.2
"რძე ""სოფლის ნობათი"" პასტერიზებული 2,5%",0,0,0.93,0,5.3,53,2.5,4.7,3,492.9,23.25,43.71,27.9
"რძე ""სოფლის ნობათი"" პასტერიზებული 3,2%",0,0,0.93,0,5.3,60,3.2,4.7,3,558,29.76,43.71,27.9
"რძე ""პარმალატი"" ულაქტოზო 1.8%",0,0,1,0,9.95,197,1.8,4.7,0,1970,18,47,0
"რძე 2,2%",0,0,1,0,2.95,50.6,2.2,4.7,3,506,22,47,30
"ნაღები რძის ""დომიკ ვ დერევნე"" 20%",0,0.48,0,0,8.9,432,20,4,2.5,2073.6,96,19.2,12
"რძის კოქტეილი ""ჩუდო"" შოკოლადის 2%",0,0.96,0,0,7.95,80,2,12.5,2.7,768,19.2,120,25.92
"რძე ""სანტალი"" ულტრაპასტერიზებული ნუშის სამარხვო",0,0,1,0,13.85,154,34,0.1,0.6,1540,340,1,6
"არაჟანი ""სოფლის ნობათი"" 15%",0,0.38,0,0,4.15,161,15,3.6,2.8,611.8,57,13.68,10.64
"არაჟანი ""პრეზიდენტი"" 20%",0,0.325,0,0,6.55,204,20,3.5,2.5,663,65,11.375,8.125
"არაჟანი რჩეული ""სოფლის ნობათი"" 20%",0,0.35,0,0,4.8,206,20,3.6,2.8,721,70,12.6,9.8
"არაჟანი ""სოფლის ნობათი"" 15%",0,2,0,0,3.75,161,15,3.6,2.8,3220,300,72,56
"არაჟანი ""სოფლის ნობათი"" 12%",0,0.8,0,0,8.2,133,12,3.6,2.8,1064,96,28.8,22.4
"სვანური ""ნატურალ პლიუსი"" 15%",0,0.8,0,0,6.1,161,15,3,4,1288,120,24,32
"სვანური ""ნატურალ პლიუსი"" 25%",0,0.8,0,0,7.3,250,25,3,3.2,2000,200,24,25.6
მარგო 15%,0,0.9,0,0,7.95,165,15,4.6,2.8,1485,135,41.4,25.2
მაწონი 2.5% 350გრ,0,0.35,0,0,1.45,60,3.2,4.2,12,210,11.2,14.7,42
"მაწონი ""სოფლის ნობათი"" 3,2%",0,0.38,0,0,2.5,59,3.2,4.1,3.3,224.2,12.16,15.58,12.54
"მაწონი რჩეული ""სოფლის ნობათი"" 3.5%",0,0.38,0,0,2.8,62,3.5,5.2,3.3,235.6,13.3,19.76,12.54
"მაწონი საბავშვო ""სოფლის ნობათი"" 3,2%",0,0.38,0,0,2.45,59,3.2,4.1,3.3,224.2,12.16,15.58,12.54
"მაწონი ""სოფლის ნობათი"" მსუბუქი 1%",0,0.38,0,0,2.6,48,1,5.6,4.1,182.4,3.8,21.28,15.58
"ხაჭოს დესერტი ""ჩუდო"" პლომბირი 5.8%",0,0.085,0,0,0,0,0,0,0,0,0,0,0
"ხაჭოს დესერტი ""ჩუდო"" კენკრის ნაყინი 5.8%",0,0.085,0,0,0,0,0,0,0,0,0,0,0
"ხაჭო ""სვანური"" 4%",0,0.18,0,0,0,0,0,0,0,0,0,0,0
"ხაჭო ""პრეზიდენტი"" 5%",0,0.22,0,0,0,0,0,0,0,0,0,0,0
"მოჭიქული ყველი ""ჩუდო"" ქოქოსით",0,0.04,0,0,0,0,0,0,0,0,0,0,0
"მოჭიქული ყველი ""ჩუდო"" ვანილის",0,0.04,0,0,0,0,0,0,0,0,0,0,0
"მოჭიქული ყველი ""ჩუდო"" შოკოლადის",0,0.1,0,0,0,0,0,0,0,0,0,0,0
"ხაჭოს დესერტი ""ჩუდო"" ველური მარწყვით 4,2%",0,0.1,0,0,0,0,0,0,0,0,0,0,0
"ხაჭოს დესერტი ""ჩუდო"" დანამატებით ჟოლო/მაყვალი 4,2%",0,0.1,0,0,0,0,0,0,0,0,0,0,0
"ხაჭოს დესერტი ""ჩუდო"" ალუბალი/ბალი 4,2%",0,0.1,0,0,0,0,0,0,0,0,0,0,0
"ხაჭოს დესერტი ""ჩუდო"" ატამი/მსხალი 4,2%",0,0.1,0,0,0,0,0,0,0,0,0,0,0
"ხაჭო ""სოფლის ნობათი"" 5% /ბრიკეტი/",0,0.18,0,0,0,0,0,0,0,0,0,0,0
"ხაჭო ""სოფლის ნობათი"" 0% /ბრიკეტი/",0,0.18,0,0,0,0,0,0,0,0,0,0,0
"შესქელებული რძის შემცველი პროდუქტი ""ბარაქა"" მოუხარშავი 8,5%",0,0.37,0,0,3.9,330,8.5,56,7.5,1221,31.45,207.2,27.75
"შესქელებული რძე გოსტი ""კოროვკა"" მოხარშული",0,0.36,0,0,6.2,330,8.5,57,6.4,1188,30.6,205.2,23.04
"შესქელებული რძის შემცველი პროდუქტი ""ბარაქა"" მოხარშული 8,5%",0,0.37,0,0,4.3,323,8.5,58,3,1195.1,31.45,214.6,11.1
"შესქელებული რძე გოსტი ""კოროვკა""",0,0.36,0,0,6.2,330,8.5,57,7.5,1188,30.6,205.2,27
"შესქელებული რძე გოსტი ""კოროვკა"" დოიპაკი",0,0.27,0,0,4.5,330,8.5,57,7.5,891,22.95,153.9,20.25
"იოგურტი ""ჩუდო"" ატამი/მარაკუია 2,5%",0,0.115,0,0,1.85,107,2.5,17.9,3.2,123.05,2.875,20.585,3.68
"იოგურტი დასალევი ""ფრუგურტი"" ალუბალი 1%",0,0.27,0,0,2.5,65,1,11.5,2.7,175.5,2.7,31.05,7.29
"იოგურტი დასალევი ""ფრუგურტი"" მარწყვი 1%",0,0.27,0,0,2.5,65,1,11.5,2.7,175.5,2.7,31.05,7.29
"იოგურტი ""ჩუდო"" მარწყვი",0,0.13,0,0,2.1,98,2.5,15.8,3.1,127.4,3.25,20.54,4.03
"იოგურტის პროდუქტი ""ნეჟნი"" ატმის წვენით 1,2%",0,0.1,0,0,2.1,85,1.2,16,2.5,85,1.2,16,2.5
"იოგურტის პროდუქტი ""ნეჟნი"" ბანანი-მარწყვის 1,2%",0,0.1,0,0,1.09,85,1.2,16,2.5,85,1.2,16,2.5
"იოგურტის პროდუქტი ""ნეჟნი"" ალუბლის წვენით 1,2%",0,0.1,0,0,1.09,85,1.2,16,2.5,85,1.2,16,2.5
"იოგურტის პროდუქტი ""ნეჟნი"" მარწყვის 1,2%",0,0.1,0,0,1.09,85,1.2,16,2.5,85,1.2,16,2.5
"იოგურტი ""ჩუდო"" ველური მარწყვის 2,5%",0,0.115,0,0,1.09,99,2.5,15.8,3.1,113.85,2.875,18.17,3.565
"იოგურტი ""ფრუგურტი"" მარწყვი 2,5%",0,0.115,0,0,1.85,91,2.5,13.6,3.4,104.65,2.875,15.64,3.91
"იოგურტი ""ჩუდო"" ატამი/მანგო 2,5%",0,0.115,0,0,1.55,99,2.5,15.9,3.1,113.85,2.875,18.285,3.565
"იოგურტი ""ფრუგურტი"" ატამი 2,5%",0,0.115,0,0,1.85,91,2.5,13.6,3.4,104.65,2.875,15.64,3.91
"იოგურტის პროდუქტი დასალევი ""ნეჟნი"" მარწყვი 0.1%",0,0.285,0,0,1.55,50,0.1,10.6,1.2,142.5,0.285,30.21,3.42
"იოგურტის პროდუქტი დასალევი ""ნეჟნი"" ატამი 0.1%",0,0.285,0,0,2.19,50,0.1,10.6,1.2,142.5,0.285,30.21,3.42
"იოგურტი დასალევი ""ჩუდო"" ველური მარწყვის 2,1%",0,0.27,0,0,2.19,86,2.1,13.9,2.8,232.2,5.67,37.53,7.56
"იოგურტი დასალევი ""ჩუდო"" ალუბალი/ბალი 2,1%",0,0.27,0,0,2.95,88,2.1,14.4,2.8,237.6,5.67,38.88,7.56
"იოგურტი დასალევი ""პარმალატი"" ქლიავის ჩირი პრობიოტიკებით",0,0.29,0,0,2.95,71,1.5,11.35,3,205.9,4.35,32.915,8.7
"იოგურტი დასალევი ""ჩუდო"" მარწყვი/ველური მარწყვი 2,1%",0,0.56,0,0,5.5,86,2.1,13.9,2.8,481.6,11.76,77.84,15.68
"იოგურტი დასალევი ""ჩუდო"" ატამი/გარგარი 2,1%",0,0.56,0,0,5.5,89,2.1,13.9,2.8,498.4,11.76,77.84,15.68
"იოგურტი დასალევი ""ჩუდო"" ატამი/გარგარი 2,1% 50გრ",0,0.56,0,0,5.5,89,2.1,13.9,2.8,498.4,11.76,77.84,15.68
"იოგურტი ""ჩუდო"" ალუბალი/ბალი 2,5%",0,0.29,0,0,4.2,99,2.5,15.8,3.1,287.1,7.25,45.82,8.99
"იოგურტი დასალევი ""პარმალატი"" მოცვი ჩია პრობიოტიკებით",0,0.29,0,0,4.1,71,1.5,11.35,3,205.9,4.35,32.915,8.7
"იოგურტი დასალევი რჩეული ""სოფლის ნობათი"" მარწყვი/პიტნა 2,1%",0,0.27,0,0,3.5,94,2.1,15.3,2.8,253.8,5.67,41.31,7.56
"იოგურტი დასალევი რჩეული ""სოფლის ნობათი"" ატამი/მარცვლეული 2,1%",0,0.27,0,0,3.5,72,2.1,10.5,2.8,194.4,5.67,28.35,7.56
"იოგურტი დასალევი რჩეული ""სოფლის ნობათი"" შავი ქლიავი/მარცვლეული 2,1%",0,0.27,0,0,3.5,91,2.1,16.6,2.8,245.7,5.67,44.82,7.56
"იოგურტი საბავშვო ""სოფლის ნობათი"" ატამი-გარგარი",0,0.1,0,0,3.5,80,2.7,11.4,2.6,80,2.7,11.4,2.6
"იოგურტი საბავშვო ""სოფლის ნობათი"" მარწყვი/ბანანი",0,0.1,0,0,2.7,80,2.7,11.4,2.6,80,2.7,11.4,2.6
"პუდინგი ""ჩუდო"" 3,1% შოკოლადის",0,0.125,0,0,1.95,106,3.1,16.5,3.1,132.5,3.875,20.625,3.875
"ბისკვიტი ""ნესკვიკი"" რძიანი 26გრ",0,0.026,0,0,2.25,404,21.7,44.5,7.2,105.04,5.642,11.57,1.872
"კეფირი ""პარმალატი"" პრობიოტიკებით 1%",0,0.59,0,0,5.95,38,1,4,3.2,224.2,5.9,23.6,18.88
"აირანი ""იჩიმი""",0,0,0.285,0,2.45,18,1,1.1,1.1,51.3,2.85,3.135,3.135
"კეფირი ""სოფლის ნობათი"" ბიფიდო 1,5%",0,0.93,0,0,5.4,44,1.5,4.1,3.4,409.2,13.95,38.13,31.62
"კეფირი ""სოფლის ნობათი"" ბიფიდო 1,5%",0,0.44,0,0,3.45,44,1.5,4.1,3.4,193.6,6.6,18.04,14.96
"ხორცი ნედლი ""წერტი"" ღორის რბილი",0,0.5,0,0,10.95,218,17,0,16.2,1090,85,0,81
"ხორცი ნედლი ""წერტი"" ღორის ძვლიანი",0,0.5,0,0,9.95,235,18.6,0,15.4,1175,93,0,77
"ხორცი ნედლი ""წერტი"" შერეული ფარში",0,1,0,0,14.2,215,16.8,0.5,15.5,2150,168,5,155
"ხორცი ნედლი ""წერტი"" საქონლის რბილი",0,0.5,0,0,1895,135,5.2,0,21.8,675,26,0,109
"ხორცი ნედლი ""წერტი"" საქონლის ფარში",0,0.5,0,0,13.55,198,14.2,0,18.4,990,71,0,92
"ფრთა გაყინული ""ბიბილო"" ქათმის",0,1,0,0,11.95,240,22,0,15,2400,220,0,150
"ნაგეთსი ""ბიბილო"" ქათმის",0,1,0,0,10.95,215,11,17,12,2150,110,170,120
"ქათამი გაყინული ""ბიბილო""",0,1,0,0,10.95,185,13.5,0,16,1850,135,0,160
"ჩხირები ""ბიბილო"" ქათმის",0,1,0,0,10.95,210,10.5,12.5,14,2100,105,125,140
"ფილე ქათმის შებოლილი ""ბიუ ბიუ""",0,0.225,0,0,4.95,110,2.5,1,21,247.5,5.625,2.25,47.25
"ფილე გაყინული ""ბიბილო"" ქათმის",0,1,0,0,10.95,114,2.2,0,23.5,1140,22,0,235
"ფილე პანირებული ""ქუალიკო"" ქათმის სტრიფსი",0,0.5,0,0,11.95,245,12,14,16.5,1225,60,70,82.5
"ფრთა პანირებული ""ქუალიკო"" ქათმის",0,0.5,0,0,9.5,260,16.5,11.5,14.2,1300,82.5,57.5,71
"ბარკალი გაყინული ""ბიბილო"" ქათმის",0,1,0,0,7.1,138,10,0,12,1380,100,0,120
"ქათამი გაყინული "" ქუალიკო უკრაინული""",0,0.9,0,0,8.95,230,18,0,17,2070,162,0,153
"ღვიძლი გაყინული ""სიერა"" ქათმის",0,1,0,0,4.95,127,5.95,0.7,16.5,1270,59.5,7,165
"კუჭი გაყინული ""ქუალიკო"" ქათმის",0,1,0,0,7.8,81,2.5,0,14.6,810,25,0,146
"ქათამი გაყინული ""ბიუ ბიუ""",0,1,0,0,11.5,190,14,0,16,1900,140,0,160
"ნაგეთსი ""ქუალიკო"" ქათმის",0,1,0,0,10.95,215,11,17,12,2150,110,170,120
"ფილე გაყინული ""გრაკო"" ქათმის",0,1,0,0,12.95,130,5,0,21,1300,50,0,210
"ნაგეთსი ""ბიუ ბიუ"" ქათმის",0,0.7,0,0,11.95,220,11,12,16,1540,77,84,112
"ნაგეთსი ""გრაკო"" ქათმის",0,1,0,0,10.95,186.2,7.5,18.6,11,1862,75,186,110
"შნიცელი ""გრაკო"" ქათმის",0,1,0,0,11.35,206.5,10.2,14.2,13.2,2065,102,142,132
"ხორცი გაყინული ""გრაკო"" ღორის",0,1,0,0,11.95,489,11,0,18,4890,110,0,180
"ხორცი გაყინული ""ლარდონი"" ღორის სტეიკი",0,1,0,0,12.95,242,14,0,27,2420,140,0,270
"ხორცი გაყინული ""გრაკო"" საქონლის 700გრ",0,0.7,0,0,16.95,184,12,0,19,1288,84,0,133
"ქაბაბი ""დიდგორი"" გაყინული 600გრ",0,0.6,0,0,8.95,215,15,4.5,15.5,1290,90,27,93
"ტოლმა ""დიდგორი"" გაყინული 600გრ",0,0.6,0,0,7.65,158,9,11.5,8,948,54,69,48
"გუფთა ""დიდგორი"" გაყინული 600გრ",0,0.6,0,0,7.65,192,13,5.8,13,1152,78,34.8,78
"ფარში გაყინული ""დიდგორი"" შერეული 900გრ",0,0.9,0,0,9.45,238,19,0.5,16.2,2142,171,4.5,145.8
"კატლეტი ""ბიბილო"" ქათმის 1000გრ",0,1,0,0,10.95,194,11.5,8.5,14,1940,115,85,140
"პელმენი ""დიდგორი"" ციმბირული",0,0.8,0,0,9.15,250,12,28,8,2000,96,224,64
"ხინკალი ""დიდგორი"" ხორცით პრემიუმი",1,0,0,0,7.9,180,8,21,7,180,7.9,180,8
"ხინკალი ""ხინდა"" ქალაქური",0,1,0,0,8.45,204.5,4.42,36.6,6.46,2045,44.2,366,64.6
"ხინკალი ""რერა"" ხორცით ქალაქური",1,0,0,0,11.45,202,4.3,30,0.8,202,11.45,202,4.3
"ხინკალი ""დიდგორი"" ხორცით საფირმო",0,0.4,0,0,11.95,195,9,22,8,780,36,88,32
"პელმენი ""მარშე"" კლასიკური",0,0.8,0,0,6.85,282,15,26,10.8,2256,120,208,86.4
"პელმენი ""ხინდა"" ციმბირული",0,0.8,0,0,7.5,219,6,33.94,6.56,1752,48,271.52,52.48
"პელმენი ""რერა"" ციმბირული",0,0.8,0,0,10.95,154,5.2,17.79,9.03,1232,41.6,142.32,72.24
"პელმენი ""მარშე"" საქონლის ხორცით",0,0.4,0,0,7.35,276,12.5,27.5,13.4,1104,50,110,53.6
"პელმენი ""დიდგორი"" ციმბირული ექსტრა",0,0.8,0,0,13.45,156,4.12,21.6,8.04,1248,32.96,172.8,64.32
"ბლინი ""დიდგორი"" ხორცით",1,0,0,0,5.45,214,9.8,23.5,7.9,214,5.45,214,9.8
"ბლინი ""რერა"" სულგუნით და იმერული ყველით",0,0.4,0,0,9.95,265,10.6,30.3,12,1060,42.4,121.2,48
"ვარენიკი ""დიდგორი"" კარტოფილით",0,0.8,0,0,6.95,182,2,35,6,1456,16,280,48
"ვარენიკი ""დიდგორი"" ყველით",0,0.8,0,0,11.95,228,8.5,26,12,1824,68,208,96
"ვარენიკი ""რერა"" სულგუნით",0,0.4,0,0,9.95,291,14.72,23.18,12.7,1164,58.88,92.72,50.8
"კატლეტი ""დიდგორი"" ხორცის",0,0.6,0,0,7.95,241.5,13.5,14,16,1449,81,84,96
"ფენოვანი ცომი გაყინული ""რერა""",0,0.8,0,0,5.95,366,24.5,32.09,5.28,2928,196,256.72,42.24
"ფენოვანი ცომი გაყინული ""მარშე""",0,1,0,0,8.45,331,18.5,34,7.2,3310,185,340,72
"თევზი გაყინული ""პრემ ფიში"" ტელაპიის ფილე",0,0.7,0,0,14.5,61,0,0,12.2,427,0,0,85.4
"თევზი გაყინული ""პრემ ფიში"" ორაგულის სტეიკი",0,0.7,0,0,16.8,153,4.7,0,25.8,1071,32.9,0,180.6
"თევზი გაყინული ""პრემ ფიში"" ხეკის სტეიკი",0,0.85,0,0,12.65,196,1.6,0.3,13,1666,13.6,2.55,110.5
"თევზი გაყინული ""პრემ ფიში"" სიომგის სტეიკი",0,0.5,0,0,37.95,153,4.7,0,25.8,765,23.5,0,129
"თევზი გაყინული ""პრემიო"" სკუმბრია",0,1,0,0,18.45,311,25.9,0,16.8,3110,259,0,168
"თევზი გაყინული ""პრემ ფიში"" სამეფო - Gemfish სტეიკი",0,0.7,0,0,12.8,200,12,0.3,23,1400,84,2.1,161
თევზი გაყინული „პრემ ფიში“ ხეკი,0,1,0,0,13.45,196,1.6,0.3,13,1960,16,3,130
თევზი გაყინული „პრემ ფიში“ პანგასიუსის სტეიკი,0,1,0,0,12.95,92,3.5,0,15,920,35,0,150
თევზი გაყინული „პრემ ფიში“ მოივა,0,1,0,0,9.75,218,18,0,14,2180,180,0,140
"თევზი ცივად შებოლილი ""უმალი"" სკუმბრია 350გრ",0,0.35,0,0,16.55,248,17,0,21,868,59.5,0,73.5
"თევზი ცივად შებოლილი ""უმალი"" ქაშაყი 300გრ",0,0.3,0,0,10.95,215,12,0,20,645,36,0,60
"თევზი ცივად შებოლილი ""უმალი"" ზეთოვანი ფილე 100გრ",0,0.1,0,0,9.95,162,10,0,18,162,10,0,18
"თევზი შებოლილი ""უმალი"" ორაგულის ჩხირი 40გრ",0,0.04,0,0,3.5,170.5,10.5,0,19,68.2,4.2,0,7.6
"თევზი ""უმალი"" ქაშაყის ფილეს სალათი ხახვით და მწვანილით 310გრ",0,0.31,0,0,9.3,187,12.6,0.1,18.3,579.7,39.06,0.31,56.73
"თევზი ""უმალი"" ქაშაყის ფილე ზეთში 330გრ",0,0.33,0,0,9.45,235.7,17.3,0,20,777.81,57.09,0,66
"თევზი ""უმალი"" ქაშაყის ფილე ზეთში ლიმონით და კამით 200გრ",0,0.2,0,0,8.75,233.9,17.1,0,20,467.8,34.2,0,40
"თევზი ""სანტა ბრემორი"" ქაშაყის ფილე ტრადიციული 240 გრ",0,0.24,0,0,6.2,283,26.5,0,11.2,679.2,63.6,0,26.88
"თევზი ""სანტა ბრემორი"" ქაშაყის ფილე 240 გრ",0,0.24,0,0,6.2,283,26.5,0,11.2,679.2,63.6,0,26.88
"თევზი ""სანტა ბრემორი"" ქაშაყის ფილე ორიგინალური 250გრ",0,0.25,0,0,7.2,290,27.4,0,10.9,725,68.5,0,27.25
"თევზი ""უმალი"" ქაშაყის ფილე ნორვეგიულად 200გრ",0,0.2,0,0,8.75,235.7,17.3,0,20,471.4,34.6,0,40
"ხიზილალა იმიტირებული ""სტოლნაია"" ორაგულის 230გრ",0,0.23,0,0,7.5,46,4.2,1.9,0.1,105.8,9.66,4.37,0.23
"კიბორჩხალის ჩხირი ""სანტა ბრემორი"" 200გრ",0,0.2,0,0,5.95,86,0.8,14.1,5.7,172,1.6,28.2,11.4
"ხიზილალა ""რუსკოე მორე"" ორაგულით 165გრ",0,0.165,0,0,7.95,340,33,6,4.5,561,54.45,9.9,7.425
"ყავა ხსნადი ""მაკ კოფე"" ორიგინალი (3/1)",0,0.002,0,0,0.45,400,15,65,3,8,0.3,1.3,0.06
"ყავა ხსნადი ""იაკობსი"" მონარქი",0,0.002,0,0,0.55,101,0.1,10.3,14.6,2.02,0.002,0.206,0.292
"ყავა ხსნადი ""კარტ ნუარი""",0,0.002,0,0,0.6,100,0.1,10,14.5,2,0.002,0.2,0.29
"ყავა ხსნადი ""იაკობსი"" დინამიქსი",0,0.013,0,0,0.6,110,0.3,12,15,14.3,0.039,1.56,1.95
"ყავა ხსნადი ""მაკ კოფე"" სტრონგი (3/1)",0,0.002,0,0,0.45,410,16,68,2.5,8.2,0.32,1.36,0.05
"ყავა ხსნადი ""იაკობსი"" კაპუჩინო სტიკი",0,0.0125,0,0,0.6,420,18,70,4,52.5,2.25,8.75,0.5
"ყავა ხსნადი ""იაკობსი"" ლატე (3/1)",0,0.0148,0,0,0.6,390,14,65,3.5,57.72,2.072,9.62,0.518
"ყავა ხსნადი ""იაკობსი"" კარამელი ლატე",0,0.0123,0,0,0.6,430,20,72,3,52.89,2.46,8.856,0.369
"ყავა ხსნადი ""იაკობსი"" ინტენს (3/1)",0,0.012,0,0,0.6,105,0.2,11.5,14.2,12.6,0.024,1.38,1.704
"ყავა ხსნადი ""იაკობსი"" მონარქ პლიუსი (3/1)",0,0.015,0,0,0.75,105,0.2,11.5,14.2,15.75,0.03,1.725,2.13
"ყავა ხსნადი ""იაკობსი"" დუბაის შოკოლადი (3/1)",0,0.018,0,0,1.3,420,18,70,4,75.6,3.24,12.6,0.72
"ყავა ხსნადი ""იაკობსი"" მილკა კაპუჩინო (3/1)",0,0.018,0,0,1.3,415,12,72,4.9,74.7,2.16,12.96,0.882
"ყავა ხსნადი ""იაკობსი"" კაპუჩინო (3/1)",0,0.0187,0,0,1.3,420,18,70,4,78.54,3.366,13.09,0.748
"ყავა ხსნადი ""იაკობსი"" მოკა (3/1)",0,0.0219,0,0,1.3,440,20,74,3.5,96.36,4.38,16.206,0.7665
"ყავა ხსნადი ""იაკობსი"" კარამელი ლატე (3+1)",0,0.0125,0,0,1.85,430,19,73,4,53.75,2.375,9.125,0.5
"ყავა ხსნადი ""იაკობსი"" ინტენსი (3+1)",0,0.0125,0,0,1.85,105,0.2,11.5,14.2,13.125,0.025,1.4375,1.775
"ყავა ხსნადი ""მაკ კოფე"" ორიგინალი 10ც",0,0.02,0,0,4.25,98,0.1,9.5,14,19.6,0.02,1.9,2.8
"ყავა ხსნადი ""კარტ ნუარი"" თეთრი",0,0.0174,0,0,0.65,110,0.3,12.5,13.5,19.14,0.0522,2.175,2.349
"ყავა ხსნადი ""იაკობს მონარქ"" ყინულოვანი კარამელი ლატე (3/1)",0,0.0213,0,0,1.3,450,22,76,2.5,95.85,4.686,16.188,0.5325
"ყავა ხსნადი ""მაკ კოფე"" DI TORINO შავი შოკოლადით",0,0.025,0,0,0.9,460,23,78,2,115,5.75,19.5,0.5
"ციკორი ხსნადი ""რუსკი პროდქტი"" ნატურალური",0,0.085,0,0,4.9,2,0,0.5,0.1,1.7,0,0.425,0.085
"ჩაი შავი ""აზერჩაი""",0,0.05,0,0,4.1,2,0,0.4,0.1,1,0,0.2,0.05
"ჩაი შავი ""მარიამი"" სუპერი",0,0.05,0,0,4.35,1,0,0.2,0,0.5,0,0.1,0
"ჩაი შავი ""გრინფილდი"" კენიანი",0,0.05,0,0,4.9,1,0,0.2,0,0.5,0,0.1,0
"ჩაი შავი ""გრინფილდი"" ოქროს ცეილონი",0,0.05,0,0,4.9,1,0,0.3,0,0.5,0,0.15,0
"ჩაი შავი ""გიტა"" ინდოეთი",0,0.05,0,0,1.7,1,0,0.2,0,0.5,0,0.1,0
"ჩაი შავი ""პრინცესა ნური""",0,0.05,0,0,2.6,2,0,0.4,0.1,1,0,0.2,0.05
